CONTAINER,LENGTH_IN_FEET,LENGTH_IN_METER,WIDTH_IN_METER,HEIGHT,IS_HIGH_CUBE,IS_SWAP_BODY,IS_TRAILER
40GH,40,12.2,2.44,2.44,False,False,False
23WB,23,7.01,2.55,2.44,False,True,False
20G,20,6.1,2.44,2.44,False,False,False
40G,40,12.2,2.44,2.44,False,False,False
40HC,40,12.2,2.44,2.89,True,False,False
MTRA,40,12.2,2.55,2.59,False,False,True
20GV,20,6.1,2.44,2.44,False,False,False
20DC,20,6.1,2.44,2.44,False,False,False
30O,30,9.14,2.44,2.44,False,False,False
40DC,40,12.2,2.44,2.44,False,False,False
24T,24,7.3,2.44,2.59,False,False,False
TRA,40,12.2,2.55,2.59,False,False,True
24WB,24,7.3,2.55,2.44,False,True,False
45GH,45,13.7,2.44,2.44,False,False,False
40RH,40,12.2,2.44,2.59,False,False,False
24OT,24,7.3,2.44,2.59,False,False,False
45WB,45,13.7,2.55,2.44,False,True,False
40O,40,12.2,2.44,2.44,False,False,False
30T,30,9.14,2.44,2.59,False,False,False
30SI,30,9.14,2.44,2.44,False,False,False
22WB,22,6.71,2.55,2.44,False,True,False
20O,20,6.1,2.44,2.44,False,False,False
22T,22,6.71,2.44,2.59,False,False,False
45HC,45,13.7,2.44,2.89,True,False,False
40OH,40,12.2,2.44,2.44,False,False,False
30B,30,9.14,2.44,2.44,False,False,False
30G,30,9.14,2.44,2.44,False,False,False
30WB,30,9.14,2.55,2.44,False,True,False
40R,40,12.2,2.44,2.59,False,False,False
20R,20,6.1,2.44,2.59,False,False,False
20GH,20,6.1,2.44,2.44,False,False,False
40T,40,12.2,2.44,2.59,False,False,False
20HC,20,6.1,2.44,2.89,True,False,False
20T,20,6.1,2.44,2.59,False,False,False
45G,45,13.7,2.44,2.44,False,False,False
